[walletnow, 21:34, https://www.coingecko.com/en/coins/walletnow/, https://bscscan.com/token/0x56aa0237244c67b9a854b4efe8479cca0b105289, 19,217, 4,840]
[bsc33dao, 21:31, https://www.coingecko.com/en/coins/bsc33dao/, https://bscscan.com/token/0x25559A80e1f6E0D6Db28848003716a555727Ca55, 13,973, 870]
[bakedcake-finance, 12 hours, https://www.coingecko.com/en/coins/bakedcake-finance/, https://bscscan.com/token/0xdaef65a2d139893898ac4906dc1965abc1527ecd, 58,160, 4,688]
[kala-finance, 14 hours, https://www.coingecko.com/en/coins/kala-finance/, https://bscscan.com/token/0x5f7b680de12d3da8eab7c6309b5336ca1ef04172, 16,732, 2,892]
[earthchain, 14 hours, https://www.coingecko.com/en/coins/earthchain/, https://bscscan.com/token/0xc5EdedB242E20D3Fa5EE0C4Cbd4de909f22395e9, 18,042, 5,588]
[viva-classic, 14 hours, https://www.coingecko.com/en/coins/viva-classic/, https://bscscan.com/token/0xc18083cc09da5fb3e29ae39e186a817efce6cb3f, 5,713, 2,063]
[cashio-token, 14 hours, https://www.coingecko.com/en/coins/cashio-token/, https://bscscan.com/token/0x88424c56dfaecb972c3163248928d00942191a92, 5,375, 1,720]
[sonofshib, 14 hours, https://www.coingecko.com/en/coins/sonofshib/, https://bscscan.com/token/0x413eca30181f7ed78de38da95f44fc53f664157a, 82,140, 27,742]
[bunny-zilla, 14 hours, https://www.coingecko.com/en/coins/bunny-zilla/, https://bscscan.com/token/0xc99380b4954d387e93b489e915660f634002d237, 21,654, 3,950]
[bozkurt-token, 14 hours, https://www.coingecko.com/en/coins/bozkurt-token/, https://bscscan.com/token/0x0e5366c4b3eb849a711932c027fb0d2d2d834846, 21,252, 8,551]
[shibfuel, 15 hours, https://www.coingecko.com/en/coins/shibfuel/, https://bscscan.com/token/0x36c77700eff806BaE46548DA06B442cB37698c6A, 9,564, 1,429]
[rokkit-fuel, 15 hours, https://www.coingecko.com/en/coins/rokkit-fuel/, https://bscscan.com/token/0xD85baa6cFEA9D9f64d9E341f6f58f8Aca1284817, 6,154, 869]
[meta-floki-inu, 15 hours, https://www.coingecko.com/en/coins/meta-floki-inu/, https://bscscan.com/token/0xd173dc497eeeb009b673acff9ad69d840ccdd218, 12,221, 2,413]
